organoid_id,treatment,n_cells,plate,well,mean_umi,mean_mito,major_cell_type,split
BMP.G11.PLATE3,BMP,352,PLATE3,G11,518.1022727272727,3.490336361461623,RPC,train
BMP.G12.PLATE3,BMP,279,PLATE3,G12,518.2831541218638,2.1484974995255905,RPC,train
BMP.G2.PLATE3,BMP,545,PLATE3,G2,496.9816513761468,3.889169081666437,RPC,test
BMP.G3.PLATE3,BMP,687,PLATE3,G3,557.2678311499272,2.3776502984866785,RPC,train
BMP.G4.PLATE3,BMP,167,PLATE3,G4,563.0419161676647,3.391899065710936,RPC,val
BMP.G5.PLATE3,BMP,646,PLATE3,G5,529.3467492260062,2.6048148181602877,RPC,test
BMP.G6.PLATE3,BMP,355,PLATE3,G6,487.9802816901408,3.601734062348993,RPC,test
BMP.G7.PLATE3,BMP,757,PLATE3,G7,530.7173051519154,3.1023493871944385,RPC,train
BMP.G8.PLATE3,BMP,129,PLATE3,G8,445.7674418604651,2.5441880558955963,RPC,train
BMP.G9.PLATE3,BMP,1376,PLATE3,G9,562.3699127906976,2.2932184873840225,RPC,test
BMP.H1.PLATE3,BMP,581,PLATE3,H1,560.9466437177281,4.092321186889036,RPC,train
BMP.H10.PLATE3,BMP,99,PLATE3,H10,553.6969696969697,3.515130175368874,RPC,train
BMP.H11.PLATE3,BMP,85,PLATE3,H11,552.1764705882352,1.8233668864950703,RPC,val
BMP.H12.PLATE3,BMP,386,PLATE3,H12,601.279792746114,3.053465723564195,RPC,train
BMP.H2.PLATE3,BMP,186,PLATE3,H2,520.3387096774194,2.3263699639556905,RPC,train
BMP.H3.PLATE3,BMP,545,PLATE3,H3,516.8128440366972,2.5344802204235233,RPC,val
BMP.H4.PLATE3,BMP,166,PLATE3,H4,517.7048192771084,2.6796967948421395,RPC,val
BMP.H5.PLATE3,BMP,238,PLATE3,H5,490.93277310924367,3.764437193954954,RPC,train
BMP.H6.PLATE3,BMP,254,PLATE3,H6,538.0629921259842,2.5813202805913846,RPC,train
BMP.H7.PLATE3,BMP,150,PLATE3,H7,528.18,2.6784310287450355,RPC,train
BMP.H9.PLATE3,BMP,426,PLATE3,H9,521.8990610328639,3.3764148845207598,RPC,test
BMP:CHIR.E1.PLATE2,CHIR,936,PLATE2,E1,484.41132478632477,2.975352757494578,RPC,train
BMP:CHIR.E10.PLATE2,CHIR,1171,PLATE2,E10,465.2912040990606,3.2829677072788144,RPC,train
BMP:CHIR.E11.PLATE2,CHIR,834,PLATE2,E11,493.4064748201439,3.998445132793088,RPC,train
BMP:CHIR.E12.PLATE2,CHIR,1471,PLATE2,E12,478.4581917063222,3.5056822821073066,RPC,train
BMP:CHIR.E2.PLATE2,CHIR,1458,PLATE2,E2,478.6282578875171,3.4784106459014077,RPC,train
BMP:CHIR.E3.PLATE2,CHIR,415,PLATE2,E3,489.30602409638556,3.1987366331296223,RPC,test
BMP:CHIR.E4.PLATE2,CHIR,58,PLATE2,E4,364.6896551724138,3.893067087699853,RPC,train
BMP:CHIR.E5.PLATE2,CHIR,748,PLATE2,E5,482.0655080213904,3.111625883305833,RPC,train
BMP:CHIR.E6.PLATE2,CHIR,262,PLATE2,E6,493.3435114503817,3.2058937750102854,RPC,train
BMP:CHIR.E7.PLATE2,CHIR,897,PLATE2,E7,482.85395763656635,2.575697375963757,RPC,train
BMP:CHIR.E8.PLATE2,CHIR,2127,PLATE2,E8,479.14715561824164,3.661774622746915,RPC,train
BMP:CHIR.E9.PLATE2,CHIR,1971,PLATE2,E9,466.63774733637746,3.967766268914039,RPC,train
BMP:CHIR.F1.PLATE2,CHIR,1090,PLATE2,F1,431.08715596330273,3.8195299693541847,RPC,train
BMP:CHIR.F10.PLATE2,CHIR,53,PLATE2,F10,430.1698113207547,2.169898651206244,RPC,test
BMP:CHIR.F11.PLATE2,CHIR,348,PLATE2,F11,417.117816091954,4.650339991619574,RPC,test
BMP:CHIR.F12.PLATE2,CHIR,438,PLATE2,F12,413.61187214611874,4.694817042928362,RPC,test
BMP:CHIR.F2.PLATE2,CHIR,1302,PLATE2,F2,517.947004608295,2.5675668061397325,RPC,val
BMP:CHIR.F3.PLATE2,CHIR,726,PLATE2,F3,481.9765840220386,3.4815548216943495,RPC,train
BMP:CHIR.F4.PLATE2,CHIR,990,PLATE2,F4,389.9949494949495,5.183497068202976,RPC,val
BMP:CHIR.F5.PLATE2,CHIR,1180,PLATE2,F5,447.76186440677964,3.589008058829593,RPC,train
BMP:CHIR.F6.PLATE2,CHIR,1820,PLATE2,F6,524.989010989011,1.9415548626181074,RPC,test
BMP:CHIR.F7.PLATE2,CHIR,1533,PLATE2,F7,442.36333985649054,3.2243222454657228,RPC,test
BMP:CHIR.F8.PLATE2,CHIR,1660,PLATE2,F8,520.2120481927711,3.444332754002101,RPC,train
BMP:CHIR.F9.PLATE2,CHIR,1220,PLATE2,F9,532.9926229508196,2.635576841480391,RPC,test
BMP:CHIR.G1.PLATE2,CHIR,862,PLATE2,G1,463.06844547563804,3.3101808588876236,RPC,train
BMP:CHIR.G10.PLATE2,CHIR,411,PLATE2,G10,434.3430656934307,3.473214781917247,RPC,train
BMP:CHIR.G11.PLATE2,CHIR,724,PLATE2,G11,520.2983425414365,5.270800811241754,RPC,val
BMP:CHIR.G12.PLATE2,CHIR,114,PLATE2,G12,431.96491228070175,3.925781383109885,RPC,train
BMP:CHIR.G2.PLATE2,CHIR,912,PLATE2,G2,511.30592105263156,3.0926502255768025,RPC,train
BMP:CHIR.G3.PLATE2,CHIR,503,PLATE2,G3,441.0755467196819,4.130931124798747,RPC,val
BMP:CHIR.G4.PLATE2,CHIR,581,PLATE2,G4,416.1308089500861,4.615384449792289,RPC,val
BMP:CHIR.G5.PLATE2,CHIR,578,PLATE2,G5,405.7716262975779,5.190427153545755,RPC,train
BMP:CHIR.G6.PLATE2,CHIR,1080,PLATE2,G6,438.0324074074074,4.48414103684168,RPC,train
BMP:CHIR.G7.PLATE2,CHIR,2263,PLATE2,G7,441.58197083517456,4.752468793293388,RPC,val
BMP:CHIR.G8.PLATE2,CHIR,463,PLATE2,G8,406.93088552915765,4.3578451880294296,RPC,train
BMP:CHIR.G9.PLATE2,CHIR,682,PLATE2,G9,405.42815249266863,4.529993813640367,RPC,test
BMP:CHIR.H1.PLATE2,CHIR,554,PLATE2,H1,458.6624548736462,3.4754448547021806,RPC,train
BMP:CHIR.H10.PLATE2,CHIR,1396,PLATE2,H10,488.72707736389685,3.662017896867927,RPC,train
BMP:CHIR.H11.PLATE2,CHIR,957,PLATE2,H11,514.7690700104494,2.5676998510374425,RPC,val
BMP:CHIR.H12.PLATE2,CHIR,228,PLATE2,H12,441.24122807017545,4.871314407401112,RPC,train
BMP:CHIR.H2.PLATE2,CHIR,1218,PLATE2,H2,476.1305418719212,4.534256290113856,RPC,train
BMP:CHIR.H3.PLATE2,CHIR,623,PLATE2,H3,533.7415730337078,3.6862155519581714,RPC,train
BMP:CHIR.H4.PLATE2,CHIR,516,PLATE2,H4,458.8837209302326,3.196949008808018,RPC,train
BMP:CHIR.H5.PLATE2,CHIR,463,PLATE2,H5,386.05615550755937,4.174189321989185,RPC,train
BMP:CHIR.H6.PLATE2,CHIR,291,PLATE2,H6,381.2474226804124,4.7451848696064145,RPC,test
BMP:CHIR.H7.PLATE2,CHIR,216,PLATE2,H7,495.60185185185185,4.964078725292798,RPC,val
BMP:CHIR.H8.PLATE2,CHIR,856,PLATE2,H8,398.1892523364486,5.464836707991031,RPC,test
BMP:CHIR.H9.PLATE2,CHIR,373,PLATE2,H9,462.5817694369973,4.768806940779723,RPC,train
BMP:SU5402:CHIR.A1.PLATE3,SU5402:CHIR,1519,PLATE3,A1,552.7478604344964,4.867403223044798,RPC,train
BMP:SU5402:CHIR.A11.PLATE3,SU5402:CHIR,373,PLATE3,A11,492.8605898123324,5.212627510356945,RPC,train
BMP:SU5402:CHIR.A2.PLATE3,SU5402:CHIR,1023,PLATE3,A2,571.7214076246335,4.314044676608017,RPC,train
BMP:SU5402:CHIR.A3.PLATE3,SU5402:CHIR,545,PLATE3,A3,538.3229357798165,5.329562025747053,RPC,test
BMP:SU5402:CHIR.A4.PLATE3,SU5402:CHIR,236,PLATE3,A4,485.0762711864407,5.252866275078556,RPC,train
BMP:SU5402:CHIR.A5.PLATE3,SU5402:CHIR,365,PLATE3,A5,513.7643835616439,4.576079942458109,RPC,train
BMP:SU5402:CHIR.A6.PLATE3,SU5402:CHIR,630,PLATE3,A6,503.93174603174606,5.472630141316508,RPC,train
BMP:SU5402:CHIR.A7.PLATE3,SU5402:CHIR,913,PLATE3,A7,526.39430449069,4.127221356065919,RPC,val
BMP:SU5402:CHIR.A8.PLATE3,SU5402:CHIR,1832,PLATE3,A8,552.5584061135371,4.070485126060739,RPC,val
BMP:SU5402:CHIR.A9.PLATE3,SU5402:CHIR,254,PLATE3,A9,409.9724409448819,5.153086286643865,RPC,test
BMP:SU5402:CHIR.B1.PLATE3,SU5402:CHIR,639,PLATE3,B1,544.4084507042254,5.078712259106488,RPC,test
BMP:SU5402:CHIR.B10.PLATE3,SU5402:CHIR,249,PLATE3,B10,419.04819277108436,4.762994465144902,RPC,train
BMP:SU5402:CHIR.B11.PLATE3,SU5402:CHIR,2577,PLATE3,B11,513.4136592937524,3.969190640593385,RPC,train
BMP:SU5402:CHIR.B12.PLATE3,SU5402:CHIR,249,PLATE3,B12,473.3092369477912,5.711095871886194,RPC,val
BMP:SU5402:CHIR.B2.PLATE3,SU5402:CHIR,318,PLATE3,B2,423.84276729559747,4.849196590606281,RPC,train
BMP:SU5402:CHIR.B3.PLATE3,SU5402:CHIR,2777,PLATE3,B3,489.6629456247749,3.098668719847184,RPC,val
BMP:SU5402:CHIR.B4.PLATE3,SU5402:CHIR,235,PLATE3,B4,508.3744680851064,5.576468377494495,RPC,train
BMP:SU5402:CHIR.B5.PLATE3,SU5402:CHIR,86,PLATE3,B5,495.6744186046512,7.455919768018039,RPC,val
BMP:SU5402:CHIR.B6.PLATE3,SU5402:CHIR,1390,PLATE3,B6,498.73093525179854,5.777163897021009,RPC,train
BMP:SU5402:CHIR.B7.PLATE3,SU5402:CHIR,796,PLATE3,B7,507.98743718592965,5.402598090802532,RPC,train
BMP:SU5402:CHIR.B8.PLATE3,SU5402:CHIR,905,PLATE3,B8,443.7524861878453,4.154721151057671,RPC,train
BMP:SU5402:CHIR.B9.PLATE3,SU5402:CHIR,344,PLATE3,B9,437.57848837209303,5.033850376387231,RPC,train
BMP:SU5402:CHIR.C1.PLATE3,SU5402:CHIR,404,PLATE3,C1,467.2227722772277,4.454653391608959,RPC,train
BMP:SU5402:CHIR.C10.PLATE3,SU5402:CHIR,197,PLATE3,C10,411.994923857868,5.3977403711718654,RPC,test
BMP:SU5402:CHIR.C11.PLATE3,SU5402:CHIR,614,PLATE3,C11,488.92345276872965,3.8257255721900822,RPC,train
BMP:SU5402:CHIR.C2.PLATE3,SU5402:CHIR,491,PLATE3,C2,490.88187372708757,5.856211815577887,RPC,train
BMP:SU5402:CHIR.C3.PLATE3,SU5402:CHIR,446,PLATE3,C3,464.2780269058296,3.7292260499818,RPC,test
BMP:SU5402:CHIR.C4.PLATE3,SU5402:CHIR,298,PLATE3,C4,437.9563758389262,3.877308584535099,RPC,test
BMP:SU5402:CHIR.C5.PLATE3,SU5402:CHIR,1699,PLATE3,C5,449.70453207769276,5.2115781923032385,RPC,train
BMP:SU5402:CHIR.C6.PLATE3,SU5402:CHIR,359,PLATE3,C6,487.949860724234,3.590714645460075,RPC,train
BMP:SU5402:CHIR.C7.PLATE3,SU5402:CHIR,303,PLATE3,C7,474.35973597359737,6.720817312974172,RPC,train
BMP:SU5402:CHIR.C8.PLATE3,SU5402:CHIR,179,PLATE3,C8,454.5027932960894,4.648211444106077,RPC,test
BMP:SU5402:CHIR.C9.PLATE3,SU5402:CHIR,910,PLATE3,C9,501.3736263736264,3.3174279820040242,RPC,val
BMP:SU5402:CHIR.D1.PLATE3,SU5402:CHIR,763,PLATE3,D1,460.043250327654,4.086342042043682,RPC,train
BMP:SU5402:CHIR.D10.PLATE3,SU5402:CHIR,491,PLATE3,D10,513.6782077393075,4.722095642915033,RPC,train
BMP:SU5402:CHIR.D11.PLATE3,SU5402:CHIR,1639,PLATE3,D11,506.68090298962784,5.074722950662634,RPC,train
BMP:SU5402:CHIR.D12.PLATE3,SU5402:CHIR,780,PLATE3,D12,446.75128205128203,4.061177942187773,RPC,val
BMP:SU5402:CHIR.D2.PLATE3,SU5402:CHIR,989,PLATE3,D2,467.1193124368049,4.655045743183639,RPC,train
BMP:SU5402:CHIR.D3.PLATE3,SU5402:CHIR,262,PLATE3,D3,478.48473282442745,6.289484068581417,RPC,train
BMP:SU5402:CHIR.D4.PLATE3,SU5402:CHIR,537,PLATE3,D4,433.584729981378,4.952970408225077,RPC,train
BMP:SU5402:CHIR.D5.PLATE3,SU5402:CHIR,404,PLATE3,D5,416.0420792079208,4.24898716511861,RPC,train
BMP:SU5402:CHIR.D6.PLATE3,SU5402:CHIR,212,PLATE3,D6,536.0518867924528,3.423218322077534,RPC,test
BMP:SU5402:CHIR.D7.PLATE3,SU5402:CHIR,638,PLATE3,D7,478.9576802507837,4.091220068759474,RPC,test
BMP:SU5402:CHIR.D8.PLATE3,SU5402:CHIR,100,PLATE3,D8,376.79,3.7879995873975902,RPC,train
BMP:SU5402:CHIR.D9.PLATE3,SU5402:CHIR,3226,PLATE3,D9,487.44048357098575,4.194484834075282,RPC,train
CONTROL.A1.PLATE1,None,550,PLATE1,A1,503.8036363636364,4.130471968952977,RPC,test
CONTROL.A10.PLATE1,None,81,PLATE1,A10,418.44444444444446,3.2681261905498147,RPC,val
CONTROL.A11.PLATE1,None,1436,PLATE1,A11,500.5125348189415,3.534492552467049,RPC,train
CONTROL.A12.PLATE1,None,107,PLATE1,A12,446.04672897196264,6.0343263937602725,RPC,train
CONTROL.A2.PLATE1,None,962,PLATE1,A2,542.3638253638254,3.522164845726784,RPC,train
CONTROL.A3.PLATE1,None,824,PLATE1,A3,549.0303398058253,3.005407019490612,RPC,val
CONTROL.A4.PLATE1,None,477,PLATE1,A4,577.7023060796646,4.33761744981946,RPC,train
CONTROL.A6.PLATE1,None,604,PLATE1,A6,436.0298013245033,3.1229280364905243,RPC,train
CONTROL.A7.PLATE1,None,149,PLATE1,A7,565.8724832214765,2.805863867851972,RPC,train
CONTROL.A8.PLATE1,None,187,PLATE1,A8,516.3743315508021,3.1060988446270543,RPC,train
CONTROL.A9.PLATE1,None,507,PLATE1,A9,525.0236686390532,4.534859526789785,RPC,test
CONTROL.B1.PLATE1,None,266,PLATE1,B1,486.8233082706767,3.467898083736707,RPC,train
CONTROL.B10.PLATE1,None,318,PLATE1,B10,520.7421383647799,3.1087032768116596,RPC,train
CONTROL.B11.PLATE1,None,755,PLATE1,B11,534.312582781457,3.955368109080599,RPC,train
CONTROL.B12.PLATE1,None,871,PLATE1,B12,490.0149253731343,3.4468542149146812,RPC,test
CONTROL.B3.PLATE1,None,359,PLATE1,B3,547.9860724233984,3.0080824808994135,RPC,val
CONTROL.B4.PLATE1,None,434,PLATE1,B4,482.241935483871,2.907692416970074,RPC,test
CONTROL.B5.PLATE1,None,1296,PLATE1,B5,548.1473765432099,3.2445560452265867,RPC,train
CONTROL.B8.PLATE1,None,81,PLATE1,B8,481.71604938271605,3.874672412589815,RPC,train
CONTROL.B9.PLATE1,None,210,PLATE1,B9,550.5428571428571,3.283250187575932,RPC,test
CONTROL.C1.PLATE1,None,153,PLATE1,C1,513.3464052287582,4.103862953523997,RPC,train
CONTROL.C10.PLATE1,None,80,PLATE1,C10,471.225,2.7095031108532703,RPC,val
CONTROL.C11.PLATE1,None,88,PLATE1,C11,516.4772727272727,1.809988347906158,RPC,train
CONTROL.C12.PLATE1,None,195,PLATE1,C12,601.4205128205128,4.949210655996208,RPC,train
CONTROL.C2.PLATE1,None,390,PLATE1,C2,550.2692307692307,2.471842147067467,RPC,train
CONTROL.C3.PLATE1,None,645,PLATE1,C3,445.68527131782946,2.927526295008838,RPC,train
CONTROL.C4.PLATE1,None,665,PLATE1,C4,526.6857142857143,2.992038407921299,RPC,val
CONTROL.C5.PLATE1,None,401,PLATE1,C5,553.498753117207,3.1835227203895795,RPC,train
CONTROL.C7.PLATE1,None,421,PLATE1,C7,501.0,2.4338322808368016,RPC,train
CONTROL.C9.PLATE1,None,983,PLATE1,C9,474.70701932858594,2.3220199114533027,RPC,train
CONTROL.D1.PLATE1,None,274,PLATE1,D1,564.6824817518249,3.1994933035805575,RPC,train
CONTROL.D4.PLATE1,None,70,PLATE1,D4,443.87142857142857,2.4159850294122713,RPC,train
CONTROL.D5.PLATE1,None,61,PLATE1,D5,547.0327868852459,2.4762909622847857,RPC,test
CONTROL.D6.PLATE1,None,1133,PLATE1,D6,456.0767872903795,2.4376625849113127,RPC,val
CONTROL.D7.PLATE1,None,71,PLATE1,D7,470.09859154929575,2.801088324346579,RPC,test
CONTROL.D9.PLATE1,None,82,PLATE1,D9,509.1219512195122,3.2116707288416237,RPC,train
SAG.F11.PLATE1,SAG,116,PLATE1,F11,525.0086206896551,3.778171120880644,RPC,train
SAG.F12.PLATE1,SAG,52,PLATE1,F12,493.34615384615387,2.4229349479195026,RPC,train
SAG.F5.PLATE1,SAG,251,PLATE1,F5,461.8565737051793,3.016692290337004,RPC,train
SAG.F6.PLATE1,SAG,151,PLATE1,F6,448.9867549668874,2.595091193896672,RPC,val
SAG.F7.PLATE1,SAG,57,PLATE1,F7,431.42105263157896,3.5450309500386177,RPC,train
SAG.G11.PLATE1,SAG,180,PLATE1,G11,499.1,2.7010364219650387,RPC,test
SAG.G2.PLATE1,SAG,64,PLATE1,G2,421.75,2.824389860946271,RPC,train
SAG.G8.PLATE1,SAG,54,PLATE1,G8,366.31481481481484,1.5213006946618772,RPC,train
SAG.G9.PLATE1,SAG,89,PLATE1,G9,539.8876404494382,3.122008997168507,RPC,test
SAG.H1.PLATE1,SAG,62,PLATE1,H1,369.241935483871,2.6199316774263077,RPC,val
SAG.H3.PLATE1,SAG,123,PLATE1,H3,490.9186991869919,2.185203624529284,RPC,train
SAG.H4.PLATE1,SAG,181,PLATE1,H4,505.8066298342541,3.5256130429129207,RPC,train
SAG:CHIR:BMP:SU5402.A1.PLATE4,All,53,PLATE4,A1,514.0943396226415,4.0790170986847505,RPC,test
SAG:CHIR:BMP:SU5402.A10.PLATE4,All,195,PLATE4,A10,647.1589743589743,3.651327002269216,RPC,val
SAG:CHIR:BMP:SU5402.A11.PLATE4,All,99,PLATE4,A11,489.52525252525254,4.997525867315906,RPC,train
SAG:CHIR:BMP:SU5402.A12.PLATE4,All,111,PLATE4,A12,579.7027027027027,4.854430959235087,RPC,test
SAG:CHIR:BMP:SU5402.A2.PLATE4,All,98,PLATE4,A2,387.3061224489796,3.32907781780825,RPC,test
SAG:CHIR:BMP:SU5402.A5.PLATE4,All,60,PLATE4,A5,560.6666666666666,3.885694432712074,RPC,train
SAG:CHIR:BMP:SU5402.A6.PLATE4,All,234,PLATE4,A6,553.8717948717949,3.8613920492784857,RPC,train
SAG:CHIR:BMP:SU5402.A8.PLATE4,All,264,PLATE4,A8,636.1287878787879,4.09594217280197,RPC,train
SAG:CHIR:BMP:SU5402.A9.PLATE4,All,154,PLATE4,A9,431.02597402597405,3.466497779995723,RPC,train
SAG:CHIR:BMP:SU5402.B1.PLATE4,All,365,PLATE4,B1,541.0054794520548,4.1301414742156055,RPC,test
SAG:CHIR:BMP:SU5402.B10.PLATE4,All,287,PLATE4,B10,531.1567944250871,4.0217161149347245,RPC,train
SAG:CHIR:BMP:SU5402.B11.PLATE4,All,305,PLATE4,B11,577.127868852459,4.101283828325703,RPC,train
SAG:CHIR:BMP:SU5402.B12.PLATE4,All,669,PLATE4,B12,573.814648729447,4.101006889738782,RPC,train
SAG:CHIR:BMP:SU5402.B4.PLATE4,All,171,PLATE4,B4,490.0877192982456,4.508112516604005,RPC,train
SAG:CHIR:BMP:SU5402.B5.PLATE4,All,179,PLATE4,B5,547.5083798882681,4.2559761466926656,RPC,val
SAG:CHIR:BMP:SU5402.B6.PLATE4,All,201,PLATE4,B6,622.2636815920398,3.8930493451584947,RPC,train
SAG:CHIR:BMP:SU5402.B8.PLATE4,All,190,PLATE4,B8,645.6105263157895,3.551689144938809,RPC,train
SAG:CHIR:BMP:SU5402.B9.PLATE4,All,100,PLATE4,B9,355.67,4.443348192629295,RPC,val
SAG:CHIR:BMP:SU5402.C1.PLATE4,All,491,PLATE4,C1,600.9918533604888,5.083717569764888,RPC,test
SAG:CHIR:BMP:SU5402.C10.PLATE4,All,133,PLATE4,C10,485.3157894736842,4.503513196334001,RPC,test
SAG:CHIR:BMP:SU5402.C12.PLATE4,All,473,PLATE4,C12,636.6173361522199,4.366024536283275,RPC,train
SAG:CHIR:BMP:SU5402.C2.PLATE4,All,54,PLATE4,C2,589.5185185185185,5.453466750531034,RPC,test
SAG:CHIR:BMP:SU5402.C3.PLATE4,All,106,PLATE4,C3,479.311320754717,4.073478091098424,RPC,train
SAG:CHIR:BMP:SU5402.C5.PLATE4,All,295,PLATE4,C5,523.3186440677966,3.680053445634878,RPC,train
SAG:CHIR:BMP:SU5402.C6.PLATE4,All,111,PLATE4,C6,549.7027027027027,3.3615150476057654,RPC,train
SAG:CHIR:BMP:SU5402.C7.PLATE4,All,105,PLATE4,C7,506.6857142857143,3.0765373131873655,RPC,val
SAG:CHIR:BMP:SU5402.C8.PLATE4,All,96,PLATE4,C8,480.375,4.403756316352286,RPC,train
SAG:CHIR:BMP:SU5402.C9.PLATE4,All,79,PLATE4,C9,587.2658227848101,4.076569471266734,RPC,train
SAG:CHIR:BMP:SU5402.D1.PLATE4,All,117,PLATE4,D1,524.1196581196581,3.755780848172188,RPC,val
SAG:CHIR:BMP:SU5402.D10.PLATE4,All,188,PLATE4,D10,504.6648936170213,4.260250386209521,RPC,train
SAG:CHIR:BMP:SU5402.D11.PLATE4,All,154,PLATE4,D11,482.1753246753247,4.130273780842871,RPC,val
SAG:CHIR:BMP:SU5402.D12.PLATE4,All,122,PLATE4,D12,631.9426229508197,4.724627427383681,RPC,train
SAG:CHIR:BMP:SU5402.D2.PLATE4,All,217,PLATE4,D2,495.08755760368666,3.89961932879174,RPC,train
SAG:CHIR:BMP:SU5402.D5.PLATE4,All,151,PLATE4,D5,545.8543046357615,4.296444478693079,RPC,train
SAG:CHIR:BMP:SU5402.D6.PLATE4,All,200,PLATE4,D6,544.355,4.060473645008517,RPC,train
SAG:CHIR:BMP:SU5402.D7.PLATE4,All,257,PLATE4,D7,479.0622568093385,3.8495044911535117,RPC,train
SAG:CHIR:BMP:SU5402.D8.PLATE4,All,90,PLATE4,D8,501.3222222222222,3.911167715379257,RPC,test
SAG:CHIR:BMP:SU5402.D9.PLATE4,All,68,PLATE4,D9,466.05882352941177,4.336845005739544,RPC,train
SU5402.A1.PLATE2,SU5402,468,PLATE2,A1,424.22222222222223,4.073789944508115,RPC,train
SU5402.A10.PLATE2,SU5402,798,PLATE2,A10,473.5375939849624,3.064578919158899,RPC,train
SU5402.A11.PLATE2,SU5402,508,PLATE2,A11,420.0,3.972320121450319,RPC,train
SU5402.A12.PLATE2,SU5402,485,PLATE2,A12,405.19175257731956,3.9096807105130322,RPC,val
SU5402.A2.PLATE2,SU5402,802,PLATE2,A2,415.98877805486285,4.086066453433679,RPC,train
SU5402.A3.PLATE2,SU5402,350,PLATE2,A3,321.4657142857143,4.670619933990795,RPC,train
SU5402.A4.PLATE2,SU5402,1309,PLATE2,A4,436.4751718869366,3.15548265472777,RPC,test
SU5402.A5.PLATE2,SU5402,153,PLATE2,A5,381.1437908496732,4.200781124898512,RPC,test
SU5402.A6.PLATE2,SU5402,590,PLATE2,A6,495.96610169491527,3.887971851357209,RPC,train
SU5402.A7.PLATE2,SU5402,590,PLATE2,A7,434.61186440677966,4.0086518810337015,RPC,val
SU5402.A8.PLATE2,SU5402,640,PLATE2,A8,387.5578125,4.177918736091714,RPC,train
SU5402.A9.PLATE2,SU5402,863,PLATE2,A9,428.3395133256083,4.391464888210693,RPC,val
SU5402.B1.PLATE2,SU5402,860,PLATE2,B1,419.10232558139535,4.788762659840523,RPC,train
SU5402.B10.PLATE2,SU5402,275,PLATE2,B10,454.39272727272726,2.9299981562211186,RPC,test
SU5402.B11.PLATE2,SU5402,113,PLATE2,B11,432.87610619469024,4.304851564834438,RPC,train
SU5402.B12.PLATE2,SU5402,428,PLATE2,B12,428.4626168224299,4.297841489394312,RPC,test
SU5402.B2.PLATE2,SU5402,759,PLATE2,B2,452.4967061923584,3.536786632457325,RPC,train
SU5402.B3.PLATE2,SU5402,165,PLATE2,B3,359.73333333333335,3.716572098693019,RPC,train
SU5402.B4.PLATE2,SU5402,474,PLATE2,B4,386.37974683544303,4.855244433730393,RPC,test
SU5402.B5.PLATE2,SU5402,926,PLATE2,B5,382.15550755939523,3.989599537674079,RPC,val
SU5402.B6.PLATE2,SU5402,1506,PLATE2,B6,443.3300132802125,3.969106910760076,RPC,val
